<S> w a n d e r e,wandered
<S> c,cursed
<S> s,steep
<S> s,strangelooking
<S> c a,cat
<S> s q u,squares
<S> b,birthday
<S> m o n k s h o o,monkshood
<S> d,desk
<S> b,badge
<S> j a m,james
<S> c,camera
<S> a,aren'
<S> w o,worried
<S> p u n i s h m e,punishment
<S> e a g,eager
<S> g,glumly
<S> y e,yelling
<S> n,nothin'
<S> e,echoes
<S> p,presents
<S> s,stop
<S> f o,for
<S> g r,greek
<S> m,mustache
<S> s,section
<S> s t a c,stack
<S> u p,upf
<S> t r i p,tripe
<S> v,vanishing
<S> m,myself
<S> i,impressed
<S> n,november
<S> l,lonely
<S> p o,poured
<S> s,sunday
<S> d e c i,decide
<S> g,gang
<S> s u,subtle
<S> o,outlines
<S> h,halt
<S> b,boys'
<S> i n,invisibility
<S> k e,kettle
<S> c,carriages
<S> b,bred
<S> h,hey
<S> s u g,sugar
<S> p u,punching
<S> c u,curtain
<S> d,dirty
<S> w o,woken
<S> w r,write
<S> n,next
<S> e v,even
<S> p a,pages
<S> s h,shelling
<S> q,questions
<S> m,middle
<S> b r,broomstick
<S> g,growls
<S> n e,nephew
<S> t,trembled
<S> e s c a,escaping
<S> g r a,grass
<S> o c c,occasions
<S> s,stormed
<S> m,massive
<S> b,bitterly
<S> t,tackling
<S> g,gaped
<S> w,while
<S> v a,vanishing
<S> f r u i,fruitcake
<S> c h o c o,chocolate
<S> m u,mummy
<S> c,cheeks
<S> p l,places
<S> v,village
<S> y,you'd
<S> h,hannah
<S> f l,flint
<S> g,griffin
<S> s c,scrabbling
<S> c h e e,cheerful
<S> b,blossoming
<S> s,string
<S> h,hair's
<S> h e l,held
<S> m a,master
<S> c l a,clanging
<S> e v e,everywhere
<S> f,full
<S> l o n g e,longer
<S> s,scabbers
<S> h o,horrible
<S> o,outskirts
<S> t,titles
<S> p,potters
<S> d e s s e,desserts
<S> d,desert
<S> d,discovered
<S> d,differentcolored
<S> i s,isn't
<S> c,clattering
<S> m,messin'
<S> b,build
<S> c,cunning
<S> b,bill's
<S> d,distracted
<S> b,blistering
<S> o ' c l,o'clock
<S> w,witchcraft
<S> m e,message
<S> t,trust
<S> d o i,doing
<S> w,window
<S> v,vol
<S> ' u,'up'
<S> l,laden
<S> r,restless
<S> v a n,vanishing
<S> s p,speared
<S> d o,doesn't
<S> m o s s,mossy
<S> b,bravely
<S> c,contains
<S> b,barked
<S> h o g,hog's
<S> h,horrified
<S> i,impatiently
<S> w i,witchcraft
<S> d,deliverin'
<S> l,likes
<S> n,necks
<S> o,orders
<S> h u m a n,humans
<S> g r,gripped
<S> p o,politer
<S> b,bottles
<S> s,shriek
<S> e,everybody
<S> e v e,even
<S> d,defeat
<S> j,jammed
<S> b,beak
<S> t,telling
<S> d,deeper
<S> r,rumbling
<S> t o u,touch
<S> c h,checking
<S> c,candy
<S> p,pass
<S> t,thought
<S> s o f,sofa
<S> s,sadly
<S> p a,panic
<S> p o,pounced
<S> s,secret
<S> d i,distant
<S> b l,blistering
<S> h u r r y,hurrying
<S> f i x,fixed
<S> c a,cats
<S> f o,foot
<S> s,sneaking
<S> p,pinkfaced
<S> c,climbing
<S> b o,booming
<S> t,ticket
<S> b,borrow
<S> f,far
<S> s,stay
<S> d e l i,delicious
<S> c,chips
<S> b,bottle
<S> d,deliver
<S> b,blinking
<S> f o,fourth
<S> n,name's
<S> m e l t,melted
<S> l,lines
<S> s,sorting
<S> s,spread
<S> h,hmm
<S> c o m,company
<S> b l,blackboard
<S> i c k l,ickle
<S> s,softly
<S> w,wrestling
<S> l o,looks
<S> b,been
<S> b u,butter
<S> s t,stumped
<S> h,held
<S> s,secretary
<S> b,biscuits
<S> y a r,yard
<S> b l,bless
<S> s,signed
<S> t,thoughtfully
<S> f l,floated
<S> h e l,helping
<S> l e a n e,leaned
<S> p o,pointing
<S> a,already
<S> t,taken
<S> r e,refuse
<S> l o,longbottom
<S> p,passages
<S> s t r u g g,struggling
<S> m a k,maker
<S> w a,wakes
<S> m,maroon
<S> e,earshot
<S> k e,ketchup
<S> s u,sun
<S> z,zabini
<S> t a,tantrum
<S> e f f,effort
<S> p o t t e,potter
<S> o v e r g r o w,overgrown
<S> s t,string
<S> c,clock
<S> b e,beat
<S> k,knees
<S> g l,gloomylooking
<S> e,escape
<S> c,clicked
<S> w r i n g i,wringing
<S> y e,yelled
<S> s,should've
<S> w,welsh
<S> s,strayed
<S> ','ve
<S> s t i c,stick
<S> f,fed
<S> j o u r n,journey
<S> d i s c,discover
<S> f a,fat
<S> p o w d e r e,powdered
<S> a h e,ahern
<S> h a,has
<S> j u,jumped
<S> p u,pulling
<S> a,antidark
<S> d,dwell
<S> s k i m m i n,skimming
<S> s o,somehow
<S> w r,wrestling
<S> r o,rooms
<S> l a,laden
<S> m,minutes
<S> s,stage
<S> k,katie
<S> j o,joking
<S> m,midnight
<S> d a,damn
<S> r e,relaxed
<S> t h,those
<S> d a,damp
<S> c r,cry
<S> m a j o r,majorca
<S> h,humberto's
<S> c r,crossbow
<S> p a u s,pause
<S> c,confessed
<S> w h,who's
<S> g r i m,grimly
<S> f l i c,flick
<S> c,carelessly
<S> o,overhead
<S> t h,things
<S> s,shadow
<S> ' t,'there's
<S> v o,vol
<S> e x a,exam
<S> t,trunk
<S> f,fang
<S> r,ronnie
<S> r,reaching
<S> a n,antidark
<S> o,outside
<S> i m m,immediately
<S> w,water
<S> d,diagon
<S> e,expelled
<S> t i n g,tinge
<S> e,express
<S> m,moaning
<S> l o n g i n,longingly
<S> g,goggle
<S> c a,cannonball
<S> u n,unwrapping
<S> a i,air
<S> a,award
<S> s o,sons
<S> f,fingers
<S> p,pickmeup
<S> s,shifty
<S> a w,award
<S> b,body
<S> t h r e,threeheaded
<S> c,completely
<S> m,mcgonagall's
<S> t,teeth
<S> w,wise
<S> s l o w,slowed
<S> g,grunt
<S> ' y,'you
<S> h,hard
<S> r,rubber
<S> s,squinting
<S> g l,glimpse
<S> b e,been
<S> b e g i,begin
<S> f,father's
<S> d,dish
<S> d o w,downfall
<S> t,tries
<S> g e,geroff
<S> f a,fascinated
<S> g,gaunt
<S> r i c,rich
<S> g,good'll
<S> a,again
<S> h i g h s e c u r i,highsecurity
<S> d r,drawl
<S> t o o t,toothless
<S> y,you
<S> f i g h t,fighting
<S> q,quickly
<S> f i r,firsties
<S> e s p e c i a,especially
<S> m,mule
<S> b,brocklehurst
<S> r,redheaded
<S> c,chorused
<S> l,lighter
<S> d i,differentcolored
<S> f a,fact
<S> r,rot
<S> l,lives
<S> s,son
<S> f i,fiftytwo
<S> b o,bottles
<S> m,mail
<S> a d,addressed
<S> f l,flash
<S> g,goes
<S> r o a,road
<S> r,rushed
<S> d u,dump
<S> p a s,passed
<S> p,packed
<S> w,women
<S> l,loads
<S> p,punished
<S> t,thickly
<S> d i,didn't
<S> s e c,second's
<S> s n,sniggered
<S> b,blown
<S> b,bettie
<S> b,beside
<S> c a t,cats
<S> f o u r t e e,fourteen
<S> f,flitwick
<S> m u,mud
<S> s,saturday
<S> g,girls
<S> a,as
<S> ' a t,'atta
<S> b o,book
<S> c,cornelius
<S> s,springy
<S> a t,atop
<S> k n,knot
<S> b,bean
<S> w o r,worried
<S> h,half
<S> e,erm
<S> s,sofa
<S> d,dully
<S> o n e,one's
<S> s,swift
<S> s c i,science
<S> v a,vaults
<S> w,weirdos
<S> s m,smash
<S> b,birds
<S> s h,shame
<S> p o t,potter
<S> h o m e w,homework
<S> s,squeal
<S> d u,dully
<S> g,gamekeeper
<S> f u,funny
<S> m e n,mention
<S> b o t t o,bottom
<S> m,moved
<S> b i,birds
<S> s,sun
<S> d u,dusk
<S> s o u n d e,sounded
<S> h o,holidays
<S> h u,hung
<S> t r,tries
<S> t,tunnels
<S> c o u l d n ',couldn't
<S> d,doors
<S> n,nothin
<S> s,spluttered
<S> s,swishing
<S> s,steal
<S> w,welcome
<S> s n,snare
<S> s u d d e,sudden
<S> g l i n t,glinting
<S> n,neatly
<S> s i,side
<S> b,bag
<S> s,stale
<S> n,nobody
<S> a,around
<S> m,murmured
<S> t,thousands
<S> r,ray
<S> t,tallest
<S> d e,deliver
<S> u,use
<S> r e v o l t i n,revolting
<S> o,oh
<S> d e s s e r,desserts
<S> n,nag
<S> r e a,ready
<S> s o r c e r,sorcerer's
<S> m,mouths
<S> g a,gaunt
<S> g r,greatest
<S> s,sort
<S> g a,games
<S> w,who
<S> w,wailed
<S> c,crikey
<S> r e,reckon
<S> s t,strayed
<S> b,burly
<S> h,horror
<S> e,evil
<S> c,chat
<S> p,pomfrey
<S> e n,end
<S> r e,reflected
<S> e l,elixir
<S> t u,tucked
<S> c o d,code
<S> u n,unused
<S> s,shivered
<S> a s,astounding
<S> g,grow
<S> e a,earths
<S> d,diversion
<S> c,clinging
<S> c h a n,chances
<S> t e,ted
<S> w e,weight
<S> m,mustached
<S> u s,use
<S> f a,fancy
<S> s o,sorting
<S> g r,groaned
<S> t,trying
<S> r,rat
<S> r e m e,remembrall
<S> j u,jus'
<S> b e,bedspread
<S> r e,reveal
<S> l e,leave
<S> t,training
<S> s,saints
<S> h,hogwarts
<S> r,recognized
<S> f e,feared
<S> b a,bathrobes
<S> c,clear
<S> b,bags
<S> p l a y,player
<S> t,tears
<S> f,footfalls
<S> t,tarantula
<S> d e v e l o p m e n t,developments
<S> v,video
<S> p a t,path
<S> m,mmm
<S> d o,don't
<S> t o i,toilet
<S> t,thomas
<S> e n d,endofyear
<S> b,bearing
<S> e,expression
<S> e,eeylops
<S> d u,dungeons
<S> t,trailed
<S> a,added
<S> d,deaths
<S> r,rising
<S> p,parents'
<S> n e a,nearer
<S> n e a r,nearer
<S> w o,wonder
<S> a l,all
<S> s e,seek
<S> g,glaring
<S> s,shiny
<S> u n,undergrowth
<S> s,shortly
<S> t e,teaching
<S> c l,clock
<S> s e a r c,searching
<S> a,astronomy
<S> n e p,nephew
<S> m e s s i n,messing
<S> k,knock
<S> p,pansy
<S> i n f e r n a,infernal
<S> y a,yawning
<S> c,choice
<S> m,magical
<S> r e a l l,really
<S> q,queen
<S> s u,surrounding
<S> l,lingered
<S> c,coat
<S> b i,biscuits
<S> a d m i t,admitted
<S> s,strong
<S> b l a,blackness
<S> s,savaging
<S> c h u c k,chuckled
<S> c o r r i,corridor
<S> r,righthanded
<S> p o l,politer
<S> h a p p e n,happens
<S> r,rumors
<S> w,weren't
<S> m,may
<S> f i f,fiftytwo
<S> e,england
<S> m a r b,marble
<S> s t o n e w a,stonewall
<S> r o c k e,rocket
<S> n e e,need
<S> g r,greeting
<S> b,board
<S> h,handful
<S> c,chip
<S> c o,coldly
<S> r,rooting
<S> m,master's
<S> g,giving
<S> r,raisins
<S> d i,discuss
<S> d i,diversion
<S> t,tore
<S> w i,will
<S> w,wrapped
<S> s,swimming
<S> n,nearly
<S> a n n o y,annoying
<S> c,commanded
<S> s n,sniff
<S> d,dwarf
<S> f,fluttering
<S> h,hate
<S> w e,welcome
<S> s,sank
<S> n,narrow
<S> s c,scowling
<S> r o b e,robes
<S> o,okay
<S> e,echoed
<S> c a r e t a,caretaker
<S> s n,snigget
<S> b o r,born
<S> a s,astronomy
<S> t,thinks
<S> f o,followed
<S> c,commentary
<S> m,muttered
<S> b,bad
<S> c a,cake
<S> c o,corridors
<S> u,uncle
<S> m a r,marmalade
<S> b,barbers
<S> o,orange
<S> p,pains
<S> p l,planned
<S> d,drooling
<S> n,nerves
<S> f,feel
<S> t,try
<S> s,spine
<S> m,metal
<S> w,wiping
<S> f r e e,freezing
<S> f l e,fleet
<S> e c,echoes
<S> m o,months
<S> s h,sheared
<S> b,becoming
<S> r e,reddish
<S> s t,stood
<S> m a,massive
<S> d a r k n,darkness
<S> d,disliked
<S> g,goldenbrown
<S> r,runnin'
<S> l,logic
<S> w o,wondered
<S> k i n,kind
<S> b,broomsticks
<S> l,lots
<S> w,wrist
<S> l,listened
<S> c o w e r i n,cowering
<S> s u n,sundays
<S> p,patted
<S> g r i,grinding
<S> g a m,games
<S> c,celebrate
<S> a n,anything
<S> b,bell
<S> w a,warmth
<S> c,crashing
<S> h a p p,happening
<S> t y,tyke
<S> s p i,spinach
<S> c l,clever
<S> s t r e a k e,streaked
<S> j o u r n e,journey
<S> e x p l a i,explained
<S> s,said
<S> n e p h,nephew
<S> c,creatures
<S> g,gallopin'
<S> s u b,subtle
<S> m u m b,mumbled
<S> s,slyly
<S> f l o,floated
<S> n,nnothing
<S> h e a,headmistress
<S> t,twitched
<S> a l,alas
<S> c l a s,classroom
<S> e v e n t,events
<S> f,forest's
<S> a d,adventure
<S> b,brushed
<S> w e,weasleys
<S> f a m o,famous
<S> l i,lighter
<S> s e a r c h,searching
<S> b o,borrow
<S> h u,huddle
<S> t,trash
<S> c,clue
<S> m,marched
<S> b a s k e t b a,basketball
<S> s,surname
<S> b e l o,belongs
<S> s u g g e,suggested
<S> i s n,isn't
<S> w o r,words
<S> a,adrian
<S> h a p p e,happening
<S> c,chortled
<S> p a,pack
<S> r,reared
<S> m m,mmm
<S> s t r e,street
<S> b o n n e t,bonnets
<S> s,staircases
<S> s t,still
<S> o t h,others
<S> w,wilder
<S> c,concentrating
<S> p,possible
<S> s t r o,stronger
<S> b i s,biscuits
<S> s h a k,shake
<S> g,granger's
<S> m,meddlin'
<S> d o,dodged
<S> g,game
<S> t o,tom
<S> w,wilderlooking
<S> w h,where's
<S> f,fierce
<S> p,protected
<S> h,hagrid
<S> p,pale
<S> c l o,clock
<S> t h,thomas
<S> e a,easier
<S> s u,sunshine
<S> l,leading
<S> s,stone
<S> t,tonight
<S> t,tuesday
<S> w h e e d l,wheedled
<S> b a t,bathrobes
<S> f i,fitch
<S> n e,nearly
<S> i n,including
<S> n,name
<S> f,flocking
<S> h e r m i o n,hermione'll
<S> w,warty
<S> r o,roughly
<S> m,manage
<S> y e a,yeah
<S> s,sneezed
<S> l,lightning
<S> d,dursleys'
<S> p,potions
<S> h,he'd
<S> y o,you'd
<S> t,twinkled
<S> a f,afraid
<S> c o,collar
<S> s,suspected
<S> s,skip
<S> b l,blankly
<S> y a w,yawning
<S> i n,ink
<S> r,record
<S> s,stacked
<S> g a,galleons
<S> k,keeps
<S> s i g,signature
<S> i m p o,important
<S> p a,particularly
<S> d i,disappear
<S> k n,knight
<S> a a r g,aargh
<S> g u,gun
<S> c h,chortled
<S> s l,slug
<S> s e i z,seize
<S> p o i n,points
<S> p i,pickmeup
<S> p o,pouring
<S> b r,broomsticks
<S> g r i,grips
<S> p o,polkiss
<S> a n y w,anyway
<S> c h,chamber
<S> s,subject
<S> w h e e d l e,wheedled
<S> w,whooshing
<S> o n e ',one's
<S> w h i s p e r,whispered
<S> c,carousel
<S> h,hurt
<S> g,groped
<S> w,wax
<S> h,hungry
<S> p o l i,politer
<S> s,stunned
<S> t,two
<S> a,acted
<S> m,match
<S> d a,dangerously
<S> v e,vernon
<S> f u r,furor
<S> n,notes
<S> t a,tackling
<S> g,gray
<S> o,or
<S> s,so
<S> b,bushy
<S> m,mist
<S> a b,aboard
<S> b a t h,bathrobes
<S> c r,crinkled
<S> w a k,wakes
<S> p,puddin'
<S> n,nastier
<S> b,be
<S> h o u,house
<S> h o l d i n,holding
<S> h u,hungrily
<S> c,caput
<S> c h e a,cheating
<S> a,ashenfaced
<S> r o,rose
<S> w i,wider
<S> m o u,mouth
<S> h u d,huddle
<S> g,gettin'
<S> c,crossly
<S> y,younger
<S> s c r a p i n,scraping
<S> s,she'll
<S> p,parchment
<S> p o u,pouring
<S> d,dive
<S> l,longbottom's
<S> f l,fluttering
<S> p,paraded
<S> s,survive
<S> m,mutter
<S> w h,whimpered
<S> s,seems
<S> s,stuttering
<S> f,fury
<S> c,crown
<S> b e l l,bellowed
<S> s c,scratching
<S> g u,guardin'
<S> b e h i,behind
<S> r,rich
<S> b a,baked
<S> u n b,unbroken
<S> e,emerald
<S> g,gonna
<S> d o,doorbell
<S> m,muggle
<S> d,direct
<S> b a,barbers
<S> v,voice
<S> f,firstyear
<S> f i,fierce
<S> m a,magical
<S> b,began
<S> u n k,unknown
<S> t r,transfiguration
<S> r e m e m b,remembered
<S> g,goblin
<S> s e e,seen
<S> s,shoot
<S> t,thing's
<S> c,crackpot
<S> p o,pockets
<S> i,ignore
<S> b e a,beans
<S> s,stumbled
<S> g r o w l i n,growling
<S> p e,peabrain
<S> p r o p h e,prophet
<S> s,s'pposed
<S> s,seamus
<S> h a i r,hairy
<S> r a s p b e r r,raspberry
<S> f o,folded
<S> w i,window
<S> d e t e n t i o,detention
<S> l,locked
<S> j e,jewelbright
<S> a,attack
<S> f,form
<S> l,lily
<S> t,that
<S> e v,everybody
<S> a n,answered
<S> s i g n,signature
<S> s e,seamus's
<S> l,lord
<S> w,worked
<S> s,shape
<S> d r a w,drawling
<S> h,hushed
<S> d,drops
<S> s h,shaken
<S> b,breathe
<S> a b o,aboard
<S> s,she'd
<S> t,treble
<S> s t o,stoat
<S> k,know
<S> t a k,taking
<S> i n,interrupted
<S> c h o,choose
<S> s,share
<S> d i,different
<S> g,grumpily
<S> a f t,after
<S> w h e e,wheezing
<S> s l,slay
<S> b,bounds
<S> s t r,streaming
<S> p,putting
<S> t o a d l,toadless
<S> u,uncertainly
<S> t r,trying
<S> d,drawing
<S> u s u,usually
<S> e v,evil
<S> e x,exams
<S> n,new
<S> h e,her
<S> s,scissors
<S> r,resolution
<S> s e a,seamus's
<S> t,top
<S> b l a c,blackness
<S> c o l,cold
<S> s t,stiffly
<S> s,seat
<S> h a p p e n,happening
<S> f l a m,flame
<S> w h,what've
<S> i m,impatiently
<S> s a,same
<S> o u,outlines
<S> s,shaves
<S> h,human
<S> c,commentating
<S> h,home
<S> h a,handkerchief
<S> o,observed
<S> w,walled
<S> c o n,convince
<S> p,poltergeist
<S> p u,putting
<S> s t r a i,straightened
<S> c o,commentating
<S> s l i,slippery
<S> a,ate
<S> a,arguing
<S> ' u p,'up'
<S> m a k e,maker
<S> b,boomed
<S> m e,mercy
<S> t,teapot
<S> s e e,seek
<S> ' c a u,'cause
<S> r,ranting
<S> s h e,shelling
<S> s o n,sony
<S> p,part
<S> t,truth
<S> b u,build
<S> w h y,why'd
<S> s e,seamus
<S> e a,eagerly
<S> g i,giving
<S> t,talking
<S> s,settled
<S> f,fourlegged
<S> s q u a s h,squashy
<S> d r u i d e s,druidess
<S> m o,move
<S> b a r k,barks
<S> t,telescopes
<S> f a b,fabulous
<S> e d,edge
<S> k e t,kettle
<S> c h a,change
<S> v i,visit
<S> s,slept
<S> s,steady
<S> f,friendship
<S> m,mellow
<S> s p,spluttered
<S> i,if
<S> s i,sighed
<S> b r,breathlessly
<S> k i t c h e,kitchens
<S> p a t t i n,patting
<S> p a,passageway
<S> r e a l i z,realizing
<S> m e,metal
<S> r,raspberry
<S> ' a t t,'atta
<S> p,paisley
<S> o,own
<S> c h r i s t m,christmas
<S> s n a,snare
<S> w e a s,weasleys'
<S> r e,realized
<S> i m,impressed
<S> y,yell
<S> a,absolutely
<S> s,safe
<S> m a,maroon
<S> p e,people's
<S> w,what're
<S> d,developments
<S> c,compartment
<S> b e a,beat
<S> s l e e,sleek
<S> b,bare
<S> r i,ridgeback
<S> s,soaring
<S> e x a m i,examine
<S> s,sixteen
<S> r e,recognized
<S> e,ear
<S> s h o u l d e r,shoulders
<S> n,nail
<S> a,arts
<S> t,tiny
<S> r,road
<S> r,relieved
<S> u,upstairs
<S> f o u r p o s t,fourposter
<S> c,changed
<S> g,gently
<S> b,bill
<S> p,push
<S> s t,stumbled
<S> w,whined
<S> n e e d e,needed
<S> s,sent
<S> j,jostled
<S> c,castle
<S> h a n,hands
<S> r,report
<S> i,ill
<S> s,seeming
<S> d o,doi
<S> p,poison
<S> h o,hovered
<S> l,leaving
<S> m,movement
<S> s w,swig
<S> w,wait
<S> k e t t,kettle
<S> b,bangs
<S> h a,hadn't
<S> s u i,suits
<S> e x,excitedly
<S> f o r g e t t i n,forgetting
<S> m a,marge's
<S> t r,treble
<S> s,slightly
<S> c l,clear
<S> a,above
<S> t e,ten
<S> s h e l,shelling
<S> z,zombie
<S> t,twice
<S> b,brazilian
<S> q u i c,quicker
<S> c,chuckled
<S> m e,meself
<S> i n,ing
<S> c,confusing
<S> s,shoveling
<S> l e,less
<S> r,rasping
<S> c,climbed
<S> h o u,hours
<S> l a,laughing
<S> c,cheery
<S> d,dropped
<S> s t,stunned
<S> g a,gaped
<S> w,whispers
<S> b,borrowed
<S> s t i,stiffly
<S> l o v,love
<S> r,remorse
<S> w i,wilder
<S> f a i,faintest
<S> q,quick
<S> v,victims
<S> s t a t,statue
<S> o u t,outlines
<S> s t o n e w a l,stonewall
<S> s,seats
<S> s e v e n t e e,seventeen
<S> c a,cantered
<S> e,every
<S> p,patil
<S> w,wow
<S> h,hardfaced
<S> p,potion
<S> d,does
<S> w,winged
<S> t r,try
<S> y e,yeh'll
<S> t a p,tapestry
<S> n,needn't
<S> h,handle
<S> c,cork
<S> r,real
<S> b r,bravery
<S> n e e d l e,needles
<S> s n i f f,sniffed
<S> d r,draught
<S> h o a r s,hoarse
<S> f u r o,furor
<S> a,anytime
<S> p e e r,peering
<S> h a,hair's
<S> t r,trouble
<S> p,peculiar
<S> s,some
<S> h e a d,headmistress
<S> f a u,fault
<S> d,demanded
<S> n,nightmare
<S> t a k,take
<S> b o,boy
<S> w,wizard's
<S> w,werewolves
<S> a,arrived
<S> l,light
<S> l u,luck
<S> p o u,pounced
<S> f,forgive
<S> d e,desk
<S> b,blonde
<S> w a,warning
<S> s,solutions
<S> t r,transfixed
<S> g o,gotta
<S> p a,packages
<S> s e,seeming
<S> t o,town
<S> l i,liver
<S> d i,diagon
<S> d,dawned
<S> s,swipe
<S> g o,goes
<S> h o g ',hog's
<S> w h a t ' s h e,what'shername
<S> k e t t l,kettle
<S> d,disapproving
<S> s,shop
<S> r,rang
<S> i,insides
<S> i n t e r f e r i n,interfering
<S> c,charlie's
<S> g,goblin's
<S> g,guard
<S> t e a c,teach
<S> s,swarming
<S> w h,wherever
<S> s o,someone
<S> w e,welsh
<S> s,stench
<S> p e r h a,perhaps
<S> i,irritably
<S> n o,november
<S> s e v,seventy
<S> t a k i,taking
<S> g,grasp
<S> w a t c,watch
<S> f u n,funny
<S> a,astride
<S> p,piece
<S> b e l,belonged
<S> n u,nuts
<S> b e,become
<S> m,mortis
<S> p r o b l e,problem
<S> b e,beside
<S> a n,anyone's
<S> d u r,dursley
<S> w h o,who's
<S> m i,mistake
<S> s,sign
<S> l,leaned
<S> r o,rounded
<S> e a g,eagerly
<S> s,sobbed
<S> m,minister
<S> y e h,yeh'll
<S> c o r n f,cornflakes
<S> a g r,agreed
<S> t,thundered
<S> i n t,interrupted
<S> m a g,magical
<S> p,proof
<S> m u,muttered
<S> r,rooted
<S> p,prefects
<S> p r,present
<S> y e s,yesterday
<S> z,zoo
<S> r e,relax
<S> l,letters
<S> n,nosy
<S> m,measuring
<S> y,yelps
<S> u n w,unwrapping
<S> t,touched
<S> l e a t,leather
<S> t,thumping
<S> s c a r l e,scarlet
<S> g u,guide
<S> c a,cannot
<S> g u l p,gulped
<S> s,slowly
<S> k a,katie
<S> m,mahogany
<S> s,seize
<S> l,lump
<S> b e a u t i,beautiful
<S> h,herself
<S> h,hooded
<S> g r,grim
<S> r u,rumors
<S> d e,dean's
<S> s o n,sons
<S> s u,sure
<S> n e,neat
<S> s m,smeltings
<S> s,screeched
<S> w,wizards'
<S> r,rolled
<S> f,feverishly
<S> p a s s,passed
<S> k n o w w h o,knowwho'
<S> a b o a,aboard
<S> s t,stare
<S> p l a,planned
<S> c o,compartment
<S> i n t e,interfere
<S> h a g,hagrid's
<S> c h,chipped
<S> w,winning
<S> a,at
<S> b r,brilliantly
<S> k e p,kept
<S> s,striped
<S> c o,commanded
<S> g,grinned
<S> s,stalagmite
<S> k e t,ketchup
<S> b r,brushed
<S> w i l,wild
<S> a s,ashenfaced
<S> o,open
<S> h a,hall
<S> s,sinister
<S> n a,name's
<S> k,knowin'
<S> r,rummaging
<S> c l o c,clock
<S> a,angelina
<S> d e,deaths
<S> s,shut
<S> g r,grate
<S> s o,solutions
<S> f i n n i g,finnigan
<S> d,ducks
<S> t,twisted
<S> s,singsong
<S> t,talked
<S> m e r,mercy
<S> h i,hitch
<S> i n,instead
<S> b o,bothering
<S> s o,somefink
<S> d i,dirt
<S> l u,lumpy
<S> s,speechless
<S> a,argue
<S> f i,fifthyear
<S> b,bald
<S> b l,blinking
<S> s ' p o s,s'pose
<S> g r e,greeting
<S> y e l,yelling
<S> d o o r k,doorknob
<S> k,knew
<S> d e l i g h t e,delighted
<S> m a n a g e,managed
<S> h,hugged
<S> r e f,reflected
<S> n,net
<S> h,hufflepuffis
<S> w i,wish
<S> m,magnificent
<S> t i,tiny
<S> f a s,fascinated
<S> f a u l,fault
<S> b e l,below
<S> k,knight's
<S> t,thatthat
<S> e s,escape
<S> p e o p,people
<S> y o,youknowwhat
<S> r i,riding
<S> s e e,seeming
<S> l,locomotor
<S> c h,chapter
<S> s,staying
<S> t e,tears
<S> t u,tut
<S> m,muffled
<S> q,quite
<S> p,pretty
<S> h,here's
<S> s,stalactite
<S> l,lived
<S> c a,car's
<S> b a,banquet
<S> o,ooh
<S> o,older
<S> q u,quills
<S> s o c k,socks
<S> p,pitchblack
<S> n a,name
<S> p o,poison
<S> i,invisible
<S> e,eating
<S> s,stonewall
<S> h,heart
<S> f,finds
<S> j e w,jewelbright
<S> w i s h i n,wishing
<S> t i,titles
<S> e d,edged
<S> c o m p,company
<S> f,future
<S> c o d s w a l,codswallop
<S> d,detest
<S> n,nudged
<S> b l,black
<S> s t,stiff
<S> h e r m i o n e,hermione'll
<S> m,moaned
<S> b,bott's
<S> m a r b l,marble
<S> s t u,stunned
<S> s,squeezed
<S> m,me
<S> m,makin'
<S> r u,rules
<S> c o,cork
<S> s,staff
<S> k i,kindly
<S> f l,flight
<S> f e,fer
<S> c h e,checking
<S> b u,burning
<S> w o,wow
<S> b l,blimey
<S> t h,that'll
<S> p a r,particularly
<S> p a,party
<S> o,owner's
<S> f,friendly
<S> e,easily
<S> u,ushered
<S> a l i,alicia
<S> m,many
<S> r a,rage
<S> g,goblet
<S> i,impressively
<S> r a b,rabbit
<S> j a c k,jacket
<S> f l u i,fluid
<S> m,mustn't
<S> f l i,flight
<S> p e l t,pelted
<S> h a,happen
<S> p,pairs
<S> t r y,trying
<S> o,over
<S> h a,hagrid
<S> c,copying
<S> t r,trodden
<S> a,amazement
<S> i n,ing
<S> c,cheered
<S> d e,deeper
<S> d,dashed
<S> a,arm
<S> d r a,drawl
<S> o,oh
<S> s,sandwiches
<S> y e,yelps
<S> h,harry
<S> w,wandered
<S> d,deadly
<S> b,be
<S> f i,firm
<S> b i,bits
<S> b,brandnew
<S> t w,two
<S> l,like
<S> b,bundle
<S> p r e,present
<S> d r e a d,dreadlocks
<S> s o,somersault
<S> g a t,gathering
<S> g,game's
<S> g a,gang
<S> r,rain
<S> n,neck
<S> t r o,trophy
<S> p,pieces
<S> m,marble
<S> w a,waved
<S> c l,climbed
<S> p a r,parts
<S> l o,loudly
<S> l,laws
<S> t,tall
<S> s h o w,showed
<S> m a j o r c,majorca
<S> s t,stacked
<S> t w i,twins'
<S> d r,drills
<S> d i d,didn't
<S> j,joined
<S> s t,stalagmite's
<S> a,accountant
<S> r e a l i z i,realizing
<S> g l i n t i,glinting
<S> c l e,clever
<S> b a s e b a l,baseball
<S> p,phone
<S> b,beard
<S> c a,caput
<S> d,demand
<S> g u,guard
<S> s,silent
<S> s q,squeezed
<S> e,everyone
<S> f i,finding
<S> s p,spinning
<S> e,element
<S> s t,steep
<S> s,shack
<S> s e,sec
<S> s,sheet
